,title,code,pointsR1,pointsR2,HEI
327,Photography,DL833,650,nan,"Dun Laoghaire Institute of Art, Design and Technology"
328,Film and Television Production,DL834,990,nan,"Dun Laoghaire Institute of Art, Design and Technology"
329,Creative Computing,DL836,219,nan,"Dun Laoghaire Institute of Art, Design and Technology"
330,New Media Studies,DL837,201,nan,"Dun Laoghaire Institute of Art, Design and Technology"
331,Creative Music Production,DL838,754,nan,"Dun Laoghaire Institute of Art, Design and Technology"
332,Interaction and User Experience Design,DL839,683,683,"Dun Laoghaire Institute of Art, Design and Technology"
333,Digital Marketing,DL840,228,228,"Dun Laoghaire Institute of Art, Design and Technology"
334,English and Equality Studies,DL841,276,nan,"Dun Laoghaire Institute of Art, Design and Technology"
335,Architecture,DN100,510,nan,University College Dublin (NUI)
336,Landscape Architecture,DN120,407,nan,University College Dublin (NUI)
337,City Planning and Environmental Policy,DN130,407,400,University College Dublin (NUI)
338,Engineering (Common Entry),DN150,531,521,University College Dublin (NUI)
339,Science (options),DN200,533,nan,University College Dublin (NUI)
340,Computer Science (Common Entry),DN201,510,nan,University College Dublin (NUI)
341,Actuarial and Financial Studies,DN230,601,nan,University College Dublin (NUI)
342,Sustainability,DN240,440,nan,University College Dublin (NUI)
343,Agricultural Science (options),DN250,456,455,University College Dublin (NUI)
344,Dairy Business,DN252,410,nan,University College Dublin (NUI)
345,Agri - Environmental Sciences,DN253,418,nan,University College Dublin (NUI)
346,Food Science,DN261,477,nan,University College Dublin (NUI)
347,Human Nutrition,DN262,531,nan,University College Dublin (NUI)
348,Forestry,DN271,311,nan,University College Dublin (NUI)
349,"Horticulture, Landscape and Sportsturf Management",DN272,297,282,University College Dublin (NUI)
350,Veterinary Medicine - Undergraduate Entry,DN300,589,nan,University College Dublin (NUI)
351,Veterinary Medicine - Graduate Entry (GAMSAT required),DN301,nan,nan,University College Dublin (NUI)
352,Veterinary Nursing,DN310,478,477,University College Dublin (NUI)
353,Medicine - Undergraduate Entry (HPAT required),DN400,737,736,University College Dublin (NUI)
354,Medicine - Graduate Entry (GAMSAT required),DN401,nan,nan,University College Dublin (NUI)
355,Radiography,DN410,534,532,University College Dublin (NUI)
356,Radiography - Graduate Entry,DN411,nan,nan,University College Dublin (NUI)
357,Physiotherapy,DN420,578,577,University College Dublin (NUI)
358,Health and Performance Science,DN425,510,509,University College Dublin (NUI)
359,Sport and Exercise Management,DN430,455,445,University College Dublin (NUI)
360,"Biomedical, Health and Life Sciences",DN440,590,589,University College Dublin (NUI)
361,General Nursing,DN450,429,424,University College Dublin (NUI)
362,Children`s and General Nursing (Integrated),DN451,509,506,University College Dublin (NUI)
363,Midwifery,DN452,489,476,University College Dublin (NUI)
364,Mental Health Nursing,DN453,397,393,University College Dublin (NUI)
365,Joint Honours (options),DN520,310,nan,University College Dublin (NUI)
366,Humanities (options),DN530,340,336,University College Dublin (NUI)
367,Modern Languages (options),DN541,303,nan,University College Dublin (NUI)
368,Law (options),DN600,546,544,University College Dublin (NUI)
369,Business and Law,DN610,545,nan,University College Dublin (NUI)
370,Commerce,DN650,521,521,University College Dublin (NUI)
371,Commerce International (options),DN660,517,511,University College Dublin (NUI)
372,Economics and Finance,DN670,613,nan,University College Dublin (NUI)
373,Social Sciences (options),DN700,421,419,University College Dublin (NUI)
374,Economics,DN710,498,498,University College Dublin (NUI)
375,Psychology,DN720,530,522,University College Dublin (NUI)
376,Social Policy and Sociology,DN750,378,nan,University College Dublin (NUI)
377,Accounting,GA181,309,nan,Galway-Mayo Institute of Technology
378,Business,GA182,287,nan,Galway-Mayo Institute of Technology
379,Business Information Systems,GA183,296,nan,Galway-Mayo Institute of Technology
380,Marketing and Sales,GA184,307,nan,Galway-Mayo Institute of Technology
381,Finance and Economics,GA185,293,nan,Galway-Mayo Institute of Technology
382,Business with Entrepreneurship,GA186,280,nan,Galway-Mayo Institute of Technology
383,Rural Enterprise and Agri-Business,GA187,281,nan,Galway-Mayo Institute of Technology
384,Film and Documentary,GA281,304,nan,Galway-Mayo Institute of Technology
385,Heritage Studies,GA282,220,nan,Galway-Mayo Institute of Technology
386,Contemporary Art,GA283,679,nan,Galway-Mayo Institute of Technology
387,Design,GA284,303,nan,Galway-Mayo Institute of Technology
388,"Education (Art, Design and Graphics)",GA285,nan,nan,Galway-Mayo Institute of Technology
389,International Hotel Management,GA380,242,nan,Galway-Mayo Institute of Technology
390,International Tourism Management,GA381,278,nan,Galway-Mayo Institute of Technology
391,Culinary and Gastronomic Science,GA382,206,nan,Galway-Mayo Institute of Technology
392,Event Management with Public Relations,GA384,212,nan,Galway-Mayo Institute of Technology
393,Construction Management,GA480,260,nan,Galway-Mayo Institute of Technology
394,Quantity Surveying and Construction Economics,GA482,288,nan,Galway-Mayo Institute of Technology
395,Architectural Technology,GA483,265,nan,Galway-Mayo Institute of Technology
